cash_amount,chunks_bomb_defence_up_dx,chunks_ink_recovery_up,chunks_ink_resistance_up,chunks_ink_saver_main,chunks_ink_saver_sub,chunks_main_power_up,chunks_quick_respawn,chunks_quick_super_jump,chunks_run_speed_up,chunks_special_charge_up,chunks_special_power_up,chunks_special_saver,chunks_sub_power_up,chunks_swim_speed_up,drinks_bomb_defence_up_dx,drinks_ink_recovery_up,drinks_ink_resistance_up,drinks_ink_saver_main,drinks_ink_saver_sub,drinks_main_power_up,drinks_quick_respawn,drinks_quick_super_jump,drinks_run_speed_up,drinks_special_charge_up,drinks_special_power_up,drinks_special_saver,drinks_sub_power_up,drinks_swim_speed_up,foods_cash1.5,foods_cash2.0,foods_cash2.5,foods_exp1.5,foods_exp2.0,foods_exp2.5,result_id
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4976a035-bf1b-43fb-bc9a-13da50643164
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e63af3f9-3b6e-4f77-a183-cf74303f758e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446bce0c-bb27-4abc-8955-d513b71376ec
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e8b508f8-359f-44bc-bf10-6e92c42e26ad
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fa8468cf-131c-4218-af27-6ecac412a122
4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e2dacf3e-2a97-4af9-8a66-f7e699c65be8
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f214ebd2-95de-4efb-a6c6-28a6788d34ca
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,c5e38ef7-f353-4156-b696-017d60598c9e
4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010654d-aef3-4e41-a840-046a0e29301b
4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ab2b8ef7-e6d6-4f62-ac6f-c5275bc3f65a
8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1f842166-52f6-49af-acc3-f4057bbe42ba
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,c55bdb03-dece-45fa-9998-a18c882e9c3c
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ef99160f-7d14-4f9c-a011-a59d6990ffe8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b359b35d-b1e2-4a23-a8cb-9894e893f07a
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8626c112-9548-402d-94ed-211fe5c4771c
8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38516c73-8d32-4531-b5b3-9148c0dd7300
8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66166b34-334a-4c00-9470-f46c333f203d
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,becde11c-e3c1-4738-b1cf-9dbeab3bc3e9
4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c731f0d1-5e0a-44f2-bcaa-306fbc479482
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,d5c77e59-7634-49bc-a7c7-440f21c29f20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dc6c20e9-f3d8-4bb7-a20e-bd4ccf859602
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43045609-2910-40fe-a4fb-efbde412a8ee
20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dcd9eeb3-8b95-4fbd-bc31-7bf8194d0011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,fec273b3-d551-40e9-a4c3-f81a6673e945
4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ad4c704c-a288-48bf-b111-7b6619bbb575
8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43bcf45f-da46-473b-a6a6-171b0e0a1e03
